Date,Task Name,Phase,Priority
2026-04-24,编写 path_scanner.py 提取 txt 绝对路径,数据工程与自动化底座,High
2026-04-27,编写 lazy_reader.py 分块读取防止内存溢出,数据工程与自动化底座,Medium
2026-04-28,测试 NumPy 数组转换与向量化极值计算,数据工程与自动化底座,High
2026-04-29,完成零均值化与 3-sigma 异常脉冲清洗,数据工程与自动化底座,Medium
2026-04-30,编写 convert_to_npy.py 将数据转存为高效格式,数据工程与自动化底座,High
2026-05-06,编写 plot_raw.py 绘制高精度原始波形图,时域可视化与OOP封装,Medium
2026-05-07,绘制背景噪声与疑似撞击的 subplots 对比图,时域可视化与OOP封装,Low
2026-05-08,编写 dataset_api.py 完成面向对象预处理管线封装,时域可视化与OOP封装,High
2026-05-11,理解奈奎斯特定理与傅里叶变换的数学/物理意义,DSP理论与傅里叶变换,Medium
2026-05-12,测试不同加窗机制（Hanning）对频谱泄漏的抑制,DSP理论与傅里叶变换,Low
2026-05-13,编写 spectral_analysis.py 计算 400kHz 采样率下的幅值谱,DSP理论与傅里叶变换,High
2026-05-14,绘制对数幅值谱验证 30-50kHz 目标能量区,DSP理论与傅里叶变换,Medium
2026-05-15,设计巴特沃斯 30-50kHz 滤波器的数学极点参数,DSP理论与傅里叶变换,Medium
2026-05-18,使用 filtfilt 进行零相位带通滤波剔除低频流体噪声,波包剥离与包络提取,High
2026-05-19,理解 Hilbert 变换生成复数解析信号与包络线的机理,波包剥离与包络提取,Medium
2026-05-20,编写 envelope_extract.py 提取高频载波包络红线图,波包剥离与包络提取,High
2026-05-21,设计自适应 CFAR 阈值裁切独立的脉冲波包切片,波包剥离与包络提取,High
2026-05-22,序列化保存数千个原始波包与包络波包片段,波包剥离与包络提取,Medium
2026-05-25,计算声发射时域特征（上升时间/持续时间/峰值）,物理特征工程提取,High
2026-05-26,数值积分计算波包 MARSE 能量与 RMS 有效值,物理特征工程提取,High
2026-05-27,计算短时 FFT 谱质心与频域特征,物理特征工程提取,Medium
2026-05-28,使用 Pandas 汇总特征字典并为样本注入标签,物理特征工程提取,Medium
2026-05-29,使用 Seaborn 绘制特征 Pairplot 验证分布可分性,物理特征工程提取,Low
2026-06-01,严格 8:2 划分数据集避免时序数据泄漏,传统机器学习验证,High
2026-06-02,使用 StandardScaler 进行特征缩放,传统机器学习验证,Medium
2026-06-03,构建基于 RBF 核的 SVM 评估分类基准线,传统机器学习验证,High
2026-06-04,训练 RandomForest 基准模型对比 SVM 精度,传统机器学习验证,Medium
2026-06-05,使用 K-Fold CV 与网格搜索寻找全局最优超参数,传统机器学习验证,Low
2026-06-08,绘制验证集三分类 Confusion Matrix 热力图,模型归因与评估,Medium
2026-06-09,绘制 ROC 曲线计算 AUC 与模型鉴别力,模型归因与评估,Medium
2026-06-10,解码 RF 树状基尼衰减获取声学特征重要性排序,模型归因与评估,High
2026-06-11,使用 joblib 序列化打包最优分类推理 pipeline,模型归因与评估,Medium
2026-06-12,分析时序耦合与特征工程瓶颈并撰写中期报告,模型归因与评估,Low
2026-06-15,掌握 PyTorch Tensor (B,C,L) 格式转换与 CUDA 转移,PyTorch与1D-CNN,High
2026-06-16,测试 autograd 计算有向无环图验证梯度累加,PyTorch与1D-CNN,Medium
2026-06-17,手写基于张量引擎的纯数学线性回归算法更新权重,PyTorch与1D-CNN,High
2026-06-18,手算 1D 卷积维度缩减与局部感受野尺度演化,PyTorch与1D-CNN,High
2026-06-22,设计基础 Conv1d 滤波器验证特征通道增殖机制,深度网络搭建,Medium
2026-06-23,拼接 Conv+BN+ReLU+MaxPool 标准特征提取 Block,深度网络搭建,High
2026-06-24,编写 AcousticAE_CNN 端到端分类网络骨架类,深度网络搭建,High
2026-06-25,重写 Dataset 接口完成切片波包的单条拉取,深度网络搭建,Medium
2026-06-26,配置 DataLoader 迭代器验证批量提供逻辑,深度网络搭建,Medium
2026-06-29,构建包含清零/前向/损失/反向/步进的 Epoch 大循环,多任务与闭环训练,High
2026-06-30,引入 no_grad 与验证循环记录实时分类 Accuracy,多任务与闭环训练,High
2026-07-01,绘制动态 Loss 下降曲线并设定 early stopping 保留参数,多任务与闭环训练,Medium
2026-07-02,应用类别加权解决真实含砂样本的极度不平衡问题,多任务与闭环训练,High
2026-07-03,截取网络隐层激活图进行 t-SNE 降维投影验证,多任务与闭环训练,Low
2026-07-06,移除分类尾部修改 Loss 为 MSE 完成连续域回归改造,回归任务攻坚,High
2026-07-07,处理连续流速标签尺度重构 Dataset 回归加载口,回归任务攻坚,Medium
2026-07-08,评估模型输出画出 R-Squared 与 45 度分布预测散点图,回归任务攻坚,High
2026-07-09,重组网络头部接收波形与包络线的多模态融合双输入,回归任务攻坚,Low
2026-07-10,构建 run_inference.py 整合预测流程封装最终软件接口,回归任务攻坚,High